school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Georgia,1.0,1653.0380831875875,2.125400366570798,16.940864962049773,0.0,2.4023557910659434,1.8308592987958188,2.444193603363673,6.953149977165246,0.0,14,0,2.5874490130226415,1913.9918420836227,1,2134.694750717824,SEC,UGA,2022,17,2026-06-21T03:41:21Z
Tennessee,0.725,1653.6637973791576,1.8343481454017292,8.174588886708321,0.0,1.6192798896860958,1.8395922843989618,2.0306974960842856,3.0490498129409924,0.0,10,2,1.739957446758124,1778.3931914812997,2,2016.1160080600448,SEC,TENN,2022,17,2026-06-21T03:41:21Z
Alabama,0.725,1616.7930891094013,1.8649434060815553,5.791463932916867,0.0,1.6192798896860958,1.3249941358584674,2.0741639954687976,1.9877144815526593,0.0,10,2,1.4885908675371313,1738.174538805941,3,1969.2306034269004,SEC,ALA,2022,17,2026-06-21T03:41:21Z
LSU,0.49230769230769234,1666.0128474753908,1.6077032997555278,4.747332200952812,0.0,0.9566772039031486,2.0119458575731457,1.70870455257329,1.5227057559320891,0.0,9,4,1.3146320601289927,1710.3411296206389,4,1875.549504971274,SEC,LSU,2022,17,2026-06-21T03:41:21Z
TCU,0.7642857142857142,1590.9569980647846,1.419082069985628,6.048162937286345,0.0,1.7311478755975027,0.964404246458675,1.440731527159412,2.102036528508732,0.0,12,2,1.3023280623857407,1708.3724899817184,5,1695.980539502146,Big 12,TCU,2022,17,2026-06-21T03:41:21Z
Mississippi State,0.45,1658.0059088787666,1.577105974667467,2.9910614116731553,0.0,0.836203988306249,1.9001943895201163,1.6652351202966478,0.7405427236570766,0.0,8,4,1.1387882128372366,1682.206114053958,6,1717.1996915826924,SEC,MSST,2022,17,2026-06-21T03:41:21Z
Michigan,0.8821428571428571,1510.0372957634738,0.9292968043165394,7.755687065842807,0.0,2.066751833331723,-0.16497815325126555,0.7448966012361888,2.8624900179289248,0.0,13,1,1.0805840697577045,1672.8934511612326,7,1881.7001037103803,Big Ten,MICH,2022,17,2026-06-21T03:41:21Z
Ohio State,0.7461538461538461,1575.0263222225954,1.1900160369975972,4.618901934084446,0.0,1.6795164974845453,0.7420625373325233,1.1152988176269811,1.4655087635418376,0.0,11,2,1.0727709906854697,1671.6433585096752,8,1949.3265392371588,Big Ten,OSU,2022,17,2026-06-21T03:41:21Z
South Carolina,0.3125,1627.3612069835838,1.3814814190882336,5.5204382595950126,0.0,0.4446660376163254,1.4724915436062018,1.387312512816236,1.8670119886547698,0.0,7,5,1.0338979908611734,1665.4236785377877,9,1641.2751877309233,SEC,SC,2022,17,2026-06-21T03:41:21Z
Clemson,0.6192307692307693,1572.1519674905585,1.3034511419451758,3.888118602037571,0.0,1.318096850693847,0.7019456615585892,1.2764553761862987,1.140051145947308,0.0,10,3,0.9630896774406247,1654.0943483905,10,1748.2969706180143,ACC,CLEM,2022,17,2026-06-21T03:41:21Z
USC,0.6464285714285715,1537.8662673299568,1.0312790849019935,6.048797364360397,0.0,1.3955439178632827,0.2234260276265129,0.8897822023979949,2.102319073436899,0.0,11,3,0.9198675435789709,1647.1788069726354,11,1682.3901299606612,Pac-12,USC,2022,17,2026-06-21T03:41:21Z
Kansas State,0.49230769230769234,1605.0216679427137,1.4802974093833847,1.3105926576026983,0.0,0.9566772039031486,1.1607024305364788,1.5276997847631062,-0.007861534017942451,0.0,9,4,0.8696379413134775,1639.1420706101565,12,1723.634144656464,Big 12,KSU,2022,17,2026-06-21T03:41:21Z
Florida State,0.5875,1566.4326862360856,1.0372564960284745,3.8743830410169147,0.0,1.2277419389961726,0.622122634482425,0.898274273760586,1.1339339525603351,0.0,9,3,0.8304164627861259,1632.86663404578,13,1804.6043375917218,ACC,FSU,2022,17,2026-06-21T03:41:21Z
Ole Miss,0.3125,1613.435728369951,1.6053242253162698,1.6141545147708445,0.0,0.4446660376163254,1.2781360281198417,1.7053246160945037,0.1273310935284376,0.0,7,5,0.823907356923272,1631.8251771077234,14,1564.7561575271425,SEC,MISS,2022,17,2026-06-21T03:41:21Z
