school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Indiana,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.18876818733781,2170.2029099740494,1,1553.21539915994,Big Ten,IU,2026,0,2026-06-21T03:29:00Z
Miami,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.099668768459268,1995.9470029534828,2,1544.121752767848,ACC,MIA,2026,0,2026-06-21T03:29:00Z
Oregon,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8965168675967807,1963.4426988154848,3,1553.031798215097,Big Ten,ORE,2026,0,2026-06-21T03:29:00Z
Ole Miss,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0032527779438767,1820.5204444710203,4,1538.0436510487093,SEC,MISS,2026,0,2026-06-21T03:29:00Z
Ohio State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.9068558432061187,1805.0969349129791,5,1559.1361588917264,Big Ten,OSU,2026,0,2026-06-21T03:29:00Z
Alabama,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.8159374989183168,1790.5499998269306,6,1548.3952381484794,SEC,ALA,2026,0,2026-06-21T03:29:00Z
Texas A&M,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.7100228341905925,1773.603653470495,7,1541.8067136256477,SEC,TA&M,2026,0,2026-06-21T03:29:00Z
Georgia,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.666762383083602,1766.6819812933763,8,1558.2843268571048,SEC,UGA,2026,0,2026-06-21T03:29:00Z
Texas Tech,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.503876390972194,1740.620222555551,9,1534.8593977510975,Big 12,TTU,2026,0,2026-06-21T03:29:00Z
Oklahoma,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.304763439337457,1708.762150293993,10,1535.714747093207,SEC,OU,2026,0,2026-06-21T03:29:00Z
Louisville,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.2869545671506573,1705.9127307441051,11,1515.6563224631127,ACC,LOU,2026,0,2026-06-21T03:29:00Z
BYU,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.2407157372355877,1698.5145179576941,12,1510.805092376112,Big 12,BYU,2026,0,2026-06-21T03:29:00Z
Iowa,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.2333112433199944,1697.329798931199,13,1524.9869039059158,Big Ten,IOWA,2026,0,2026-06-21T03:29:00Z
Illinois,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1911509177435917,1690.5841468389747,14,1505.0532607970756,Big Ten,ILL,2026,0,2026-06-21T03:29:00Z
James Madison,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1535953250750364,1684.5752520120059,15,1499.6940854684055,Sun Belt,JMU,2026,0,2026-06-21T03:29:00Z
SMU,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1288412673415849,1680.6146027746536,16,1526.562868144708,ACC,SMU,2026,0,2026-06-21T03:29:00Z
Notre Dame,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.103702001479688,1676.59232023675,17,1557.9916755690756,FBS Independents,ND,2026,0,2026-06-21T03:29:00Z
USC,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0925827248263462,1674.8132359722154,18,1535.1179564798535,Big Ten,USC,2026,0,2026-06-21T03:29:00Z
Tulane,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.065350310561333,1670.4560496898132,19,1503.4414213632685,American Athletic,TULN,2026,0,2026-06-21T03:29:00Z
Texas,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0583939789922734,1669.3430366387638,20,1549.5914190612655,SEC,TEX,2026,0,2026-06-21T03:29:00Z
Washington,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0521955338062774,1668.3512854090045,21,1522.8008140441978,Big Ten,WASH,2026,0,2026-06-21T03:29:00Z
Michigan,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.043159182553741,1666.9054692085986,22,1536.9815394480595,Big Ten,MICH,2026,0,2026-06-21T03:29:00Z
Virginia,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0250327667828847,1664.0052426852615,23,1507.3804167678534,ACC,UVA,2026,0,2026-06-21T03:29:00Z
Vanderbilt,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0131687573203192,1662.107001171251,24,1520.0835206925835,SEC,VAN,2026,0,2026-06-21T03:29:00Z
NC State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9620791572821693,1653.932665165147,25,1509.8247105006753,ACC,NCSU,2026,0,2026-06-21T03:29:00Z
North Texas,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9093280046451293,1645.4924807432208,26,1501.3228993433288,American Athletic,UNT,2026,0,2026-06-21T03:29:00Z
TCU,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7997682701819491,1627.9629232291118,27,1516.3182083217196,Big 12,TCU,2026,0,2026-06-21T03:29:00Z
Wake Forest,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7832103189344658,1625.3136510295146,28,1498.8456700627282,ACC,WAKE,2026,0,2026-06-21T03:29:00Z
Duke,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7781190433058561,1624.4990469289369,29,1506.9384728783314,ACC,DUKE,2026,0,2026-06-21T03:29:00Z
Minnesota,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7763566821547422,1624.2170691447589,30,1506.1599080683848,Big Ten,MINN,2026,0,2026-06-21T03:29:00Z
Utah,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7711851250122066,1623.389620001953,31,1526.5363385280955,Big 12,UTAH,2026,0,2026-06-21T03:29:00Z
Arizona State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7641213499393019,1622.2594159902883,32,1512.9578604558899,Big 12,ASU,2026,0,2026-06-21T03:29:00Z
Pittsburgh,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7491332710776446,1619.8613233724232,33,1507.7245461179266,ACC,PITT,2026,0,2026-06-21T03:29:00Z
South Florida,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7454549646459753,1619.272794343356,34,1513.5535336742646,American Athletic,USF,2026,0,2026-06-21T03:29:00Z
Georgia Tech,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.742466299010504,1618.7946078416805,35,1510.1418265959385,ACC,GT,2026,0,2026-06-21T03:29:00Z
Navy,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7423246338008394,1618.7719414081344,36,1503.228824776678,American Athletic,NAVY,2026,0,2026-06-21T03:29:00Z
Iowa State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7185819803124895,1614.9731168499984,37,1505.324588389667,Big 12,ISU,2026,0,2026-06-21T03:29:00Z
Missouri,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7030038382744437,1612.480614123911,38,1525.6060283821255,SEC,MIZ,2026,0,2026-06-21T03:29:00Z
Boise State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6649331131789347,1606.3892981086296,39,1500.1054541061424,Pac-12,BOIS,2026,0,2026-06-21T03:29:00Z
Tennessee,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6457320967931358,1603.3171354869016,40,1533.1550701320818,SEC,TENN,2026,0,2026-06-21T03:29:00Z
Old Dominion,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6311065514646996,1600.977048234352,41,1490.8363317515573,Sun Belt,ODU,2026,0,2026-06-21T03:29:00Z
Arizona,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.565217116670526,1590.4347386672841,42,1508.233121949342,Big 12,ARIZ,2026,0,2026-06-21T03:29:00Z
Houston,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.48022265751708115,1576.835625202733,43,1500.8086653290504,Big 12,HOU,2026,0,2026-06-21T03:29:00Z
East Carolina,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4600021901590287,1573.6003504254445,44,1500.1462133247067,American Athletic,ECU,2026,0,2026-06-21T03:29:00Z
North Dakota State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.446696438887317,1571.4714302219706,45,1500.0,Mountain West,NDSU,2026,0,2026-06-21T03:29:00Z
Sacramento State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.446696438887317,1571.4714302219706,45,1500.0,Mid-American,SAC,2026,0,2026-06-21T03:29:00Z
Memphis,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.38264187676967965,1561.2227002831487,47,1503.1997842536075,American Athletic,MEM,2026,0,2026-06-21T03:29:00Z
Army,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3794549664430823,1560.712794630893,48,1443.9769315695517,American Athletic,ARMY,2026,0,2026-06-21T03:29:00Z
New Mexico,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.29775683345541365,1547.6410933528662,49,1473.5290289222444,Mountain West,UNM,2026,0,2026-06-21T03:29:00Z
San Diego State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2960927587018437,1547.374841392295,50,1495.5784276588747,Pac-12,SDSU,2026,0,2026-06-21T03:29:00Z
UNLV,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2609627954331104,1541.7540472692976,51,1509.9251362407183,Mountain West,UNLV,2026,0,2026-06-21T03:29:00Z
Western Michigan,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2523933213974132,1540.3829314235861,52,1490.6809568075141,Mid-American,WMU,2026,0,2026-06-21T03:29:00Z
Hawai'i,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.19512124893615826,1531.2193998297853,53,1481.7079750539178,Mountain West,HAW,2026,0,2026-06-21T03:29:00Z
Wisconsin,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.19048872001075268,1530.4781952017204,54,1510.495294867925,Big Ten,WIS,2026,0,2026-06-21T03:29:00Z
Toledo,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.18513667530055522,1529.6218680480888,55,1503.3459688108037,Mid-American,TOL,2026,0,2026-06-21T03:29:00Z
Kennesaw State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1826100906477064,1529.217614503633,56,1461.4544610796524,Conference USA,KENN,2026,0,2026-06-21T03:29:00Z
Fresno State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15502873046116897,1524.804596873787,57,1495.7699088405388,Pac-12,FRES,2026,0,2026-06-21T03:29:00Z
Penn State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.11340321633688684,1518.144514613902,58,1544.8387363655208,Big Ten,PSU,2026,0,2026-06-21T03:29:00Z
Troy,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1016119325627707,1516.2579092100434,59,1486.0192007728458,Sun Belt,TROY,2026,0,2026-06-21T03:29:00Z
Florida,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.07920892877513527,1512.6734286040216,60,1527.4823735576776,SEC,FLA,2026,0,2026-06-21T03:29:00Z
Ohio,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.048774078274283254,1507.8038525238853,61,1486.259728727535,Mid-American,OHIO,2026,0,2026-06-21T03:29:00Z
UCLA,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.037391925699280175,1505.982708111885,62,1502.7319709152646,Big Ten,UCLA,2026,0,2026-06-21T03:29:00Z
Kentucky,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.02223008784904473,1503.556814055847,63,1508.8329132719591,SEC,UK,2026,0,2026-06-21T03:29:00Z
LSU,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.013688266627957106,1497.8098773395268,64,1533.2134409305245,SEC,LSU,2026,0,2026-06-21T03:29:00Z
Western Kentucky,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.042387500842588,1493.217999865186,65,1487.0495487337068,Conference USA,WKU,2026,0,2026-06-21T03:29:00Z
