school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Oregon,0.1791076640424314,-5.758319836669163,1,0,Boise State,0.1791076640424314,,,0.0,0.9595272211966637,1794.0431950553389,1802.298564595764,3.036440393884305,0.6666666666666666,0.0,1,0,2.3441360029884244,1875.0617604781478,1,Big Ten,ORE,2026,1,2026-09-23T04:14:10Z,
Georgia,0.007817702484207323,7.748360825090224,0,1,Tennessee State,0.007817702484207323,,,0.0,0.7772988640020213,1910.13184708488,1802.298564595764,2.6578435125339825,0.8,0.0,1,0,2.2817345828275903,1865.0775332524145,2,SEC,UGA,2026,1,2026-09-23T04:14:10Z,
Ohio State,0.021984386305634374,10.847418458300133,1,0,Ball State,0.021984386305634374,,,0.0,0.8490354439374234,1950.7792353284503,1802.298564595764,2.845101957530697,0.6666666666666666,0.0,1,0,2.1797464529996056,1848.759432479937,3,Big Ten,OSU,2026,1,2026-09-23T04:14:10Z,
Indiana,0.09807669133997143,12.970119207207802,1,0,North Texas,0.09807669133997143,,,0.0,1.039157780253782,1959.3726647184276,1802.298564595764,2.6676699635566887,0.6666666666666666,0.0,1,0,2.1248325691223866,1839.973211059582,4,Big Ten,IU,2026,1,2026-09-23T04:14:10Z,
Notre Dame,0.12202887474526924,9.081485927307156,1,0,Wisconsin,0.12202887474526924,,,0.0,1.037760204906896,1945.5288465182937,1802.298564595764,2.4583672933217264,0.6666666666666666,0.0,1,0,1.9848315971834496,1817.573055549352,5,FBS Independents,ND,2026,1,2026-09-23T04:14:10Z,
Miami,0.09985372865073006,13.891989533525226,1,0,Stanford,0.09985372865073006,,,0.0,1.0553215834841583,1912.199320085049,1802.298564595764,2.433001493745947,0.6666666666666666,0.0,1,0,1.9737748569920175,1815.8039771187227,6,ACC,MIA,2026,1,2026-09-23T04:14:10Z,
Texas,0.057730524166828556,16.853410672604348,1,0,Texas State,0.057730524166828556,,,0.0,1.0056685516414343,1936.4719890823148,1802.298564595764,2.425497187916508,0.6666666666666666,0.0,1,0,1.9522209758248168,1812.3553561319707,7,SEC,TEX,2026,1,2026-09-23T04:14:10Z,
Ole Miss,0.2731011371161749,-5.242569632183457,1,0,Louisville,0.2731011371161749,,,0.0,1.1660677569344307,1754.0230661287808,1802.298564595764,2.1131882909999216,0.6666666666666666,0.0,1,0,1.7974814463114246,1787.5970314098279,8,SEC,MISS,2026,1,2026-09-23T04:14:10Z,
Texas A&M,0.032540363801655925,12.091688441732977,1,0,Missouri State,0.032540363801655925,,,0.0,0.8881756792840454,1868.4418551071947,1802.298564595764,2.2360893631421845,0.6666666666666666,0.0,1,0,1.786784801856138,1785.885568296982,9,SEC,TA&M,2026,1,2026-09-23T04:14:10Z,
Alabama,0.06553354408628309,10.988500699138811,1,0,East Carolina,0.06553354408628309,,,0.0,0.9434145719820821,1853.6638915275967,1802.298564595764,2.139711112970052,0.6666666666666666,0.0,1,0,1.7409455993073955,1778.5512958891832,10,SEC,ALA,2026,1,2026-09-23T04:14:10Z,
Oklahoma,0.022538589105314588,10.216869639665703,1,0,UTEP,0.022538589105314588,,,0.0,0.8417377510376113,1817.3813781154488,1802.298564595764,1.7729515098313435,0.6666666666666666,0.0,1,0,1.462546923566766,1734.0075077706827,11,SEC,OU,2026,1,2026-09-23T04:14:10Z,
Texas Tech,0.007817702484207323,-12.441867937733821,0,1,Abilene Christian,0.007817702484207323,,,0.0,0.5059406829017359,1675.9746266038892,1802.298564595764,1.652414266677816,0.8,0.0,1,0,1.4231195499226001,1727.699127987616,12,Big 12,TTU,2026,1,2026-09-23T04:14:10Z,
LSU,0.09165130846868152,15.327596164028517,1,0,Clemson,0.09165130846868152,,,0.0,1.0571972111506798,1846.3733237163133,1802.298564595764,1.4942624303009864,0.6666666666666666,0.0,1,0,1.3485740239175508,1715.7718438268082,13,SEC,LSU,2026,1,2026-09-23T04:14:10Z,
USC,0.11640885575900639,1.950336592721336,2,0,San José State,0.0671085643267203,,,0.0,0.9299820978139045,1769.5058634506356,1802.298564595764,1.728993333853518,0.5,0.0,2,0,1.3294877158337113,1712.7180345333938,14,Big Ten,USC,2026,1,2026-09-23T04:14:10Z,
Michigan,0.14417484220002408,-13.793767779804465,1,0,Western Michigan,0.14417484220002408,,,0.0,0.7773452719552921,1622.875754157452,1802.298564595764,1.4966301129578676,0.6666666666666666,0.0,1,0,1.2568684992903425,1701.0989598864548,15,Big Ten,MICH,2026,1,2026-09-23T04:14:10Z,
BYU,0.007817702484207323,6.474116935832136,0,1,Utah Tech,0.007817702484207323,,,0.0,0.7601729310505383,1724.7792590035738,1802.298564595764,1.3248729681012807,0.8,0.0,1,0,1.2119329606911322,1693.9092737105811,16,Big 12,BYU,2026,1,2026-09-23T04:14:10Z,
Washington,0.10305085242540579,-4.0096106798008115,1,0,Washington State,0.10305085242540579,,,0.0,0.821512298321049,1697.3346121735963,1802.298564595764,1.1662232846006977,0.6666666666666666,0.0,1,0,1.0513196225074815,1668.211139601197,17,Big Ten,WASH,2026,1,2026-09-23T04:14:10Z,
Tennessee,0.007817702484207323,2.9048484145793125,0,1,Furman,0.007817702484207323,,,0.0,0.7122016957979171,1728.208936516802,1802.298564595764,1.0883022466273333,0.8,0.0,1,0,1.0130821364614502,1662.093141833832,18,SEC,TENN,2026,1,2026-09-23T04:14:10Z,
Penn State,0.043420979985880126,11.773566882787833,1,0,Marshall,0.043420979985880126,,,0.0,0.9070066732043746,1836.3364357562623,1802.298564595764,0.9052553505689398,0.6666666666666666,0.0,1,0,0.9058391247807513,1644.9342599649203,19,Big Ten,PSU,2026,1,2026-09-23T04:14:10Z,
SMU,0.2303051223253776,-7.032736710960347,1,0,Florida State,0.2303051223253776,,,0.0,1.051124214326941,1666.2758758772877,1802.298564595764,0.8079973123635665,0.6666666666666666,0.0,1,0,0.8890396130180247,1642.246338082884,20,ACC,SMU,2026,1,2026-09-23T04:14:10Z,
Utah,0.007817702484207323,5.01539662263108,0,1,Idaho,0.007817702484207323,,,0.0,0.7405676211962426,1756.3902580774634,1802.298564595764,0.9209776724449144,0.8,0.0,1,0,0.88489566219518,1641.5833059512288,21,Big 12,UTAH,2026,1,2026-09-23T04:14:10Z,
Iowa,0.02893093404952929,6.4849065730893045,1,0,Northern Illinois,0.02893093404952929,,,0.0,0.8051549634214062,1769.7961835325855,1802.298564595764,0.8760938229312085,0.6666666666666666,0.0,1,0,0.8524475364279411,1636.3916058284706,22,Big Ten,IOWA,2026,1,2026-09-23T04:14:10Z,
Missouri,0.007817702484207323,-0.6441917212948454,0,1,Arkansas-Pine Bluff,0.007817702484207323,,,0.0,0.6645023315541602,1663.0319453628324,1802.298564595764,0.6870306850277588,0.8,0.0,1,0,0.682525014333039,1609.2040022932863,23,SEC,MIZ,2026,1,2026-09-23T04:14:10Z,
Florida,0.022188631525152602,7.468313100822634,1,0,Florida Atlantic,0.022188631525152602,,,0.0,0.804053760233101,1713.5855520851062,1802.298564595764,0.570115661896059,0.6666666666666666,0.0,1,0,0.6480950280084063,1603.695204481345,24,SEC,FLA,2026,1,2026-09-23T04:14:10Z,
Vanderbilt,0.007817702484207323,-15.85457258820934,0,1,Austin Peay,0.007817702484207323,,,0.0,0.46007367775463864,1557.5250323508046,1802.298564595764,0.688339137632844,0.8,0.0,1,0,0.642686045657203,1602.8297673051525,25,SEC,VAN,2026,1,2026-09-23T04:14:10Z,
Illinois,0.0389816879747672,-6.780852314469431,1,0,UAB,0.0389816879747672,,,0.0,0.6482064122977548,1576.683365980854,1802.298564595764,0.5577670695948409,0.6666666666666666,0.0,1,0,0.5879135171624789,1594.0661627459967,26,Big Ten,ILL,2026,1,2026-09-23T04:14:10Z,
Virginia,0.07354577026098408,3.635296877892145,1,0,NC State,0.07354577026098408,,,0.0,0.8616020918759274,1675.8321830916336,1802.298564595764,0.40621087424282487,0.6666666666666666,0.0,1,0,0.5580079467871923,1589.2812714859508,27,ACC,UVA,2026,1,2026-09-23T04:14:10Z,
South Carolina,0.013403327880566973,9.483790135850072,1,0,Kent State,0.013403327880566973,,,0.0,0.8124850515722174,1743.931976715347,1802.298564595764,0.4261623077204772,0.6666666666666666,0.0,1,0,0.5549365556710573,1588.789848907369,28,SEC,SC,2026,1,2026-09-23T04:14:10Z,
Nebraska,0.05205533476763524,2.5857242339717352,1,0,Ohio,0.05205533476763524,,,0.0,0.8018576909671123,1660.2343628044873,1802.298564595764,0.41696788040824717,0.6666666666666666,0.0,1,0,0.5452644839278689,1587.242317428459,29,Big Ten,NEB,2026,1,2026-09-23T04:14:10Z,
Memphis,0.2462399772981857,-5.91292603276211,2,0,UNLV,0.19823065069117762,,,0.0,1.1000145361805913,1574.4229571536223,1802.298564595764,-0.056189984541132935,0.5,0.0,2,0,0.5219122758197292,1583.5059641311566,30,American Athletic,MEM,2026,1,2026-09-23T04:14:10Z,
Houston,0.0443350910553445,-11.389353239233897,1,0,Oregon State,0.0443350910553445,,,0.0,0.597636546267546,1528.2992275751174,1802.298564595764,0.483334702960654,0.6666666666666666,0.0,1,0,0.5214353173962847,1583.4296507834056,31,Big 12,HOU,2026,1,2026-09-23T04:14:10Z,
