school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,result_note,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Texas,0.9553842631624759,12.817054114026698,3,0,Ohio State,0.6785995086668104,,,0.0,2.1132137714789714,1907.585054655584,1790.187753145823,2.425497187916508,0.4,0.0,,3,0,2.238127138053986,1858.1003420886377,1,SEC,TEX,2026,3,2026-09-23T04:47:05Z,
Ole Miss,0.838490994850984,1.967333300494569,3,0,LSU,0.46119731985227674,,,0.0,1.7985357043182766,1809.7187073553657,1790.187753145823,2.1131882909999216,0.4,0.0,,3,0,1.9243967389909347,1807.9034782385495,2,SEC,MISS,2026,3,2026-09-23T04:47:05Z,
Notre Dame,0.4225118330407951,10.727800331186463,3,0,Wisconsin,0.20969823743603422,,,0.0,1.5264690691154201,1957.5484021380369,1790.187753145823,2.4583672933217264,0.4,0.0,,3,0,1.8992283587979426,1803.8765374076709,3,FBS Independents,ND,2026,3,2026-09-23T04:47:05Z,
Indiana,0.19950239745991438,10.03040322813561,2,1,North Texas,0.1562082741592965,,,0.0,1.2840808543439686,1942.3110947604719,1790.187753145823,2.6676699635566887,0.4444444444444444,0.0,,3,0,1.8990093473273997,1803.841495572384,4,Big Ten,IU,2026,3,2026-09-23T04:47:05Z,
Georgia,0.17025738281826197,9.928083769119938,2,1,Arkansas,0.1269632595176441,,,0.0,1.2521001170494,1926.9369637795305,1790.187753145823,2.6578435125339825,0.4444444444444444,0.0,,3,0,1.876874959486992,1800.2999935179187,5,SEC,UGA,2026,3,2026-09-23T04:47:05Z,
Miami,0.2945708532518314,8.136703330605034,2,1,Wake Forest,0.20114867719069252,,,0.0,1.3481998192580733,1867.7371914807836,1790.187753145823,2.433001493745947,0.4444444444444444,0.0,,3,0,1.8303338968082397,1792.8534234893184,6,ACC,MIA,2026,3,2026-09-23T04:47:05Z,
Alabama,0.5104488711607501,9.933791296350995,3,0,Kentucky,0.2403999322857504,,,0.0,1.6029163546096694,1850.4798900019705,1790.187753145823,2.139711112970052,0.4,0.0,,3,0,1.8176342579538225,1790.8214812726117,7,SEC,ALA,2026,3,2026-09-23T04:47:05Z,
Ohio State,-0.2389885822242212,10.045702758437072,3,0,Ball State,0.02438314785417761,Texas,-0.2852485340248893,0.0,0.8323005297194901,1942.2703294245637,1790.187753145823,2.845101957530697,0.4,0.0,,2,1,1.637421100843973,1761.9873761350357,8,Big Ten,OSU,2026,3,2026-09-23T04:47:05Z,
USC,0.3787493965716999,-0.4399609109819633,4,0,Fresno State,0.1506282178425561,,,0.0,1.2814921489201607,1746.640818820637,1790.187753145823,1.728993333853518,0.3333333333333333,0.0,,4,0,1.4306592105646132,1728.905473690338,9,Big Ten,USC,2026,3,2026-09-23T04:47:05Z,
Oregon,-0.6692511882407589,-5.1283553732018925,2,1,Boise State,0.16019189888368157,Oklahoma State,-0.837863440785733,0.0,0.11717082092476115,1794.8345864715238,1790.187753145823,3.036440393884305,0.4444444444444444,0.0,,2,1,1.4146239644623362,1726.3398343139738,10,Big Ten,ORE,2026,3,2026-09-23T04:47:05Z,"2,4"
