school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
LSU,2.9327019200300795,2.07918756295476,0.0,2.7218785868721747,2195.689399311837,2.1917290007970465,1850.6766401275274,1,SEC,LSU,2019,17,2026-06-21T03:41:18Z
Ohio State,1.8861758001072204,2.2792584338688426,0.0,1.6349725490237152,2150.374809723897,1.5989736355439077,1755.8357816870252,2,Big Ten,OSU,2019,17,2026-06-21T03:41:18Z
Alabama,1.709884016536259,1.6875817485655868,0.0,3.4593631634425996,2005.5932450776647,1.3040554512715925,1708.6488722034549,3,SEC,ALA,2019,17,2026-06-21T03:41:18Z
Wisconsin,1.3241544638309457,2.0622435668844914,0.0,-0.5760081767989998,1885.0849273508084,1.1023880831596427,1676.3820933055429,4,Big Ten,WIS,2019,17,2026-06-21T03:41:18Z
Oregon,1.5539916544391283,1.536935524980439,0.0,1.0458567435504946,1846.2203048011825,1.0755223131400486,1672.0835701024077,5,Pac-12,ORE,2019,17,2026-06-21T03:41:18Z
Clemson,0.7892973429172532,1.6783363963044884,0.0,4.183533735460302,2123.5796908000916,1.0230200952661592,1663.6832152425854,6,ACC,CLEM,2019,17,2026-06-21T03:41:18Z
Penn State,1.081892913086492,1.3451672907017123,0.0,-0.2718954287053398,1836.0257537396483,1.0106770625120713,1661.7083300019315,7,Big Ten,PSU,2019,17,2026-06-21T03:41:18Z
Minnesota,1.0889666352350063,1.5734151960096376,0.0,1.2282287693566607,1745.0467677533134,0.954011809097654,1652.6418894556246,8,Big Ten,MINN,2019,17,2026-06-21T03:41:18Z
Georgia,0.9414517125805926,1.433841379587816,0.0,2.6523277360217796,1906.2806238303046,0.9155341415674588,1646.4854626507934,9,SEC,UGA,2019,17,2026-06-21T03:41:18Z
Iowa,0.9037810597807212,1.5027373992807744,0.0,-0.9614464398712056,1765.89052073223,0.878806798465296,1640.6090877544473,10,Big Ten,IOWA,2019,17,2026-06-21T03:41:18Z
Texas,1.5990591681213273,1.0062486838284448,0.0,1.4546126308178615,1762.923257214109,0.8704895594769774,1639.2783295163163,11,Big 12,TEX,2019,17,2026-06-21T03:41:18Z
Florida,0.9104918923202605,1.0100577465598437,0.0,2.2064255323574034,1878.9048021389576,0.8499044804130313,1635.984716866085,12,SEC,FLA,2019,17,2026-06-21T03:41:18Z
Auburn,0.6136786039436416,1.988965818185272,0.0,-0.41348325838729266,1819.1824254567055,0.8059087444802457,1628.9453991168393,13,SEC,AUB,2019,17,2026-06-21T03:41:18Z
Michigan,0.26395469731740223,1.6269283568507926,0.0,2.225259142711566,1808.3156609267076,0.7846549843289425,1625.5447974926308,14,Big Ten,MICH,2019,17,2026-06-21T03:41:18Z
Notre Dame,1.4434691117690674,0.8510170030106149,0.0,1.6002604006552692,1883.455465641409,0.7385042130509059,1618.160674088145,15,FBS Independents,ND,2019,17,2026-06-21T03:41:18Z
Oklahoma,0.5973573843202739,1.320978512771346,0.0,1.8818011284300935,1756.191535824195,0.6622103631327213,1605.9536581012353,16,Big 12,OU,2019,17,2026-06-21T03:41:18Z
Memphis,1.0271157320064679,0.816566137704298,0.0,0.31848789808110645,1765.5837567153246,0.658504362927853,1605.3606980684565,17,American Athletic,MEM,2019,17,2026-06-21T03:41:18Z
UCF,1.792164659492038,0.0499072038042057,0.0,0.08416425383981427,1778.6690491738257,0.6325765352097426,1601.2122456335587,18,American Athletic,UCF,2019,17,2026-06-21T03:41:18Z
Baylor,0.3938978755069273,1.1602795546304543,0.0,0.6014640919770291,1761.8698699814056,0.6024042827252252,1596.3846852360361,19,Big 12,BAY,2019,17,2026-06-21T03:41:18Z
Cincinnati,0.8323814460659822,0.17183839814404028,0.0,0.7311180431104632,1691.5205806888368,0.517826665613468,1582.852266498155,20,American Athletic,CIN,2019,17,2026-06-21T03:41:18Z
Washington,0.7788109306187998,0.9823223864389655,0.0,0.3368609817745389,1787.4171138898537,0.4524371138487936,1572.389938215807,21,Pac-12,WASH,2019,17,2026-06-21T03:41:18Z
Kansas State,0.4921215148426614,0.982720371676883,0.0,-0.08354311779702958,1629.0281273983733,0.4353842749536971,1569.6614839925915,22,Big 12,KSU,2019,17,2026-06-21T03:41:18Z
San Diego State,1.7715239694563993,-0.5495507048644253,0.0,-0.11030464271156284,1657.8379221911691,0.41268045409768417,1566.0288726556296,23,Mountain West,SDSU,2019,17,2026-06-21T03:41:18Z
TCU,0.7341392711794306,0.796126896905294,0.0,0.4776010196023955,1570.3398219907845,0.4070260917233432,1565.1241746757348,24,Big 12,TCU,2019,17,2026-06-21T03:41:18Z
Texas A&M,-0.16745962478258372,1.2442793411127444,0.0,0.8938831723670844,1685.9860868976978,0.3933931757709505,1562.942908123352,25,SEC,TA&M,2019,17,2026-06-21T03:41:18Z
Navy,0.2754655834437373,0.600878573214572,0.0,-0.40887094385867295,1750.5751043738007,0.34766948265469255,1555.6271172247507,26,American Athletic,NAVY,2019,17,2026-06-21T03:41:18Z
App State,1.2557893174390917,-0.41514814620433976,0.0,0.5978771015990574,1793.5810919160137,0.34207864268149696,1554.7325828290395,27,Sun Belt,APP,2019,17,2026-06-21T03:41:18Z
Utah,0.046306220420802985,0.8674003301763624,0.0,0.9656241098940808,1743.2583715644087,0.27039510643748205,1543.2632170299971,28,Pac-12,UTAH,2019,17,2026-06-21T03:41:18Z
Iowa State,0.3112020758867915,1.1204697015509033,0.0,-1.4497878172576104,1592.8547788717258,0.2671818322874514,1542.7490931659922,29,Big 12,ISU,2019,17,2026-06-21T03:41:18Z
North Carolina,1.0623938473102243,0.04438616143758156,0.0,-0.11267590517311016,1738.7859272991957,0.26614957991660126,1542.5839327866563,30,ACC,UNC,2019,17,2026-06-21T03:41:18Z
Oklahoma State,0.24502223682415744,0.9424542363423799,0.0,-0.14276456387539146,1572.7507215461608,0.25588813619370127,1540.9421017909922,31,Big 12,OKST,2019,17,2026-06-21T03:41:18Z
Virginia Tech,0.8891298662483278,0.13625955943636958,0.0,0.5840400709356047,1661.498739827583,0.2537313189206272,1540.5970110273004,32,ACC,VT,2019,17,2026-06-21T03:41:18Z
Washington State,0.3867219339332905,0.9286700791583647,0.0,-2.220301439513472,1571.0774088443934,0.23784318484449374,1538.054909575119,33,Pac-12,WSU,2019,17,2026-06-21T03:41:18Z
Pittsburgh,1.1928576058400653,-0.40210253467109724,0.0,-0.034864775166374526,1452.4553990584543,0.21720741064798382,1534.7531857036774,34,ACC,PITT,2019,17,2026-06-21T03:41:18Z
Arizona State,0.5502305224256355,0.4609583213835823,0.0,-0.22268327398892174,1532.520593335595,0.1979856696628661,1531.6777071460585,35,Pac-12,ASU,2019,17,2026-06-21T03:41:18Z
Tulane,0.5495708615441848,0.15952156046827312,0.0,-0.11258994063367343,1602.5487123760363,0.1902657293572323,1530.442516697157,36,American Athletic,TULN,2019,17,2026-06-21T03:41:18Z
Tennessee,0.5099263303494821,0.3647655116192406,0.0,0.956288578086111,1626.5382313285402,0.18622343075701414,1529.7957489211224,37,SEC,TENN,2019,17,2026-06-21T03:41:18Z
Nebraska,-0.028212681376593517,1.358512068400082,0.0,-1.6997004008302352,1570.355299627424,0.18088132655377165,1528.9410122486036,38,Big Ten,NEB,2019,17,2026-06-21T03:41:18Z
Louisiana,0.9902952889137928,-0.5473545557706495,0.0,-0.13858132384407557,1743.272598289089,0.1632501160787605,1526.1200185726016,39,Sun Belt,UL,2019,17,2026-06-21T03:41:18Z
SMU,0.34567984286710796,0.24831035316018346,0.0,0.26614679312719136,1628.382908958371,0.1614718032939833,1525.8354885270373,40,American Athletic,SMU,2019,17,2026-06-21T03:41:18Z
USC,-0.13193109637115297,0.7194147388229113,0.0,1.2272117462376935,1572.6532585133616,0.12963162349643081,1520.741059759429,41,Pac-12,USC,2019,17,2026-06-21T03:41:18Z
