school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Ohio State,2232.6582008008677,5,3.366831466081454e-05,2.527378925947978,2.4016989826928774,1866.2919193082885,2.551320870259412,0.7663229173163425,16,1.0,0.0,2.470822951483183,1895.3316722373092,14,2,1,Big Ten,OSU,2024,17,2026-09-23T04:17:06Z
Notre Dame,2144.225622053026,5,3.366831466081454e-05,2.1725347494160694,1.816000893713922,1834.9425633650785,2.333616483607445,1.9604908054486823,16,1.0,0.0,2.0120945143501032,1821.9351222960165,14,2,2,FBS Independents,ND,2024,17,2026-09-23T04:17:06Z
Oregon,2044.5341739225498,5,3.366831466081454e-05,1.7725132831191155,1.8086626707683349,1862.139491243873,2.5224844945929514,0.004038721282437263,13,1.0,0.04729498540371213,1.8360754929649763,1793.7720788743961,13,1,3,Big Ten,ORE,2024,17,2026-09-23T04:17:06Z
Ole Miss,2069.401488463304,5,3.366831466081454e-05,1.87229576007181,1.735290310010736,1685.6704096554658,1.2970018007910336,0.8810251358709302,12,1.0,0.0,1.8106433075443267,1789.7029292070922,10,3,4,SEC,MISS,2024,17,2026-09-23T04:17:06Z
Texas,2075.335943291722,5,3.366831466081454e-05,1.8961083274148967,1.68006212931355,1834.899915315225,2.333320315879084,-0.1425366905918227,16,1.0,0.0,1.7988875382692906,1787.8220061230866,13,3,5,SEC,TEX,2024,17,2026-09-23T04:17:06Z
Penn State,2071.636008006809,5,3.366831466081454e-05,1.8812619833640245,1.7988809908969474,1799.634134499372,2.0884184685739613,0.5143844537316762,16,1.0,-0.04729498540371213,1.7968955513501277,1787.5032882160203,13,3,6,Big Ten,PSU,2024,17,2026-09-23T04:17:06Z
Indiana,2067.2843093371494,5,3.366831466081454e-05,1.8638003764221596,1.7063455408668484,1437.7099992724798,-0.42494965346492375,2.6536062332360983,12,1.0,0.0,1.7929457004222695,1786.8713120675632,11,2,7,Big Ten,IU,2024,17,2026-09-23T04:17:06Z
Alabama,1985.00547280872,5,3.366831466081454e-05,1.5336486788539523,1.6051774818572053,1847.2242481191456,2.41890616711101,-0.5982894765682777,12,1.0,0.014650234183696043,1.5804868743891123,1752.877899902258,9,4,8,SEC,ALA,2024,17,2026-09-23T04:17:06Z
Georgia,2002.0546321460788,5,3.366831466081454e-05,1.6020600606239772,1.5541196467687215,1951.9295023599643,3.146027744824727,-1.1115487176010639,13,1.0,-0.014650234183696043,1.5658366402054162,1750.5338624328665,11,3,9,SEC,UGA,2024,17,2026-09-23T04:17:06Z
Tennessee,1960.2408020784399,5,3.366831466081454e-05,1.4342780700037085,1.3020138784635147,1720.6073871714343,1.5396202863307618,0.36563136615971525,12,1.0,0.0,1.3747591838106215,1719.9614694096995,10,3,10,SEC,TENN,2024,17,2026-09-23T04:17:06Z
Miami,1904.1161311631538,5,3.366831466081454e-05,1.2090724623413271,1.4671921508813213,1593.8321493899377,0.6592345637699815,-0.10411930582080006,12,1.0,0.0,1.3252263221843243,1712.0362115494918,10,3,11,ACC,MIA,2024,17,2026-09-23T04:17:06Z
South Carolina,1965.358558778936,5,3.366831466081454e-05,1.454813558030767,1.0367563353422702,1561.095287728706,0.43189469746525055,1.4523715935307022,12,1.0,-0.014075148235053403,1.25261265958589,1700.4180255337424,9,4,12,SEC,SC,2024,17,2026-09-23T04:17:06Z
USC,1898.1258457174847,5,3.366831466081454e-05,1.1850358693090177,1.1511707558182995,1634.475022750489,0.9414774217336652,0.08852894667673454,13,1.0,-0.02255151063807581,1.1472450576001187,1683.559209216019,7,6,13,Big Ten,USC,2024,17,2026-09-23T04:17:06Z
Michigan,1892.951307629891,5,3.366831466081454e-05,1.1642725405378325,0.9625179524942843,1870.2026550948863,2.5784788232751445,1.1697239814326443,13,1.0,0.07304802501053831,1.1465310009287741,1683.444960148604,8,5,14,Big Ten,MICH,2024,17,2026-09-23T04:17:06Z
SMU,1904.2364363176343,5,3.366831466081454e-05,1.2095551982750594,1.0672874096579361,1633.030491167406,0.9314459281723882,0.6146390339134806,13,1.0,0.0,1.145534693397354,1683.2855509435767,11,3,15,ACC,SMU,2024,17,2026-09-23T04:17:06Z
Minnesota,1895.3477879262564,5,3.366831466081454e-05,1.1738886468346246,1.138395070351506,1501.2107202521224,0.016028640885811154,1.3872999978936986,12,1.0,-0.014963173019047149,1.142953364398174,1682.8725383037079,8,5,16,Big Ten,MINN,2024,17,2026-09-23T04:17:06Z
Louisville,1900.3243763056448,5,3.366831466081454e-05,1.193857683477305,1.0492102575950961,1585.5530687138266,0.6017408090689281,0.9609488961223949,12,1.0,0.0,1.1287663418303109,1680.6026146928498,9,4,17,ACC,LOU,2024,17,2026-09-23T04:17:06Z
Florida,1908.106732321398,5,3.366831466081454e-05,1.2250851309970971,0.9496391863563933,1580.5656631400498,0.5671059644682732,1.5248385743814363,12,1.0,0.011668194925984698,1.112802650834765,1678.0484241335623,8,5,18,SEC,FLA,2024,17,2026-09-23T04:17:06Z
Texas A&M,1875.7144084260926,5,3.366831466081454e-05,1.0951078346054652,1.0770652867932071,1674.1470057086317,1.2169779689479507,-0.8485687105760708,12,1.0,0.024723028156754312,1.1117117162467034,1677.8738745994726,8,5,19,SEC,TA&M,2024,17,2026-09-23T04:17:06Z
Arizona State,1887.0861782757888,5,3.366831466081454e-05,1.1407381482880719,1.0469567367176111,1432.3353435544193,-0.46227374167539537,2.4652109258559682,14,1.0,0.0,1.0985365130813645,1675.7658420930184,11,3,20,Big 12,ASU,2024,17,2026-09-23T04:17:06Z
LSU,1907.99633032454,5,3.366831466081454e-05,1.2246421324300836,1.0472998476766757,1778.9062272274527,1.9444743203309593,-0.25601212008486757,12,1.0,-0.057849416201100956,1.086988688089949,1673.9181900943918,9,4,21,SEC,LSU,2024,17,2026-09-23T04:17:06Z
