school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Ohio State,0.0,0.0,0.0,3.84312166907517,1753.400278232689,0.4900647834426628,1578.410365350826,1,Big Ten,OSU,2026,0,2026-08-24T12:48:51Z
Oregon,0.0,0.0,0.0,3.6864740763214643,1743.0762799404158,0.47008949376151854,1575.214319001843,2,Big Ten,ORE,2026,0,2026-08-24T12:48:51Z
Georgia,0.0,0.0,0.0,3.4328631209804272,1726.361825387901,0.4377496907029802,1570.039950512477,3,SEC,UGA,2026,0,2026-08-24T12:48:51Z
Texas,0.0,0.0,0.0,2.963031439219601,1695.397152424295,0.377837988393532,1560.454078142965,4,SEC,TEX,2026,0,2026-08-24T12:48:51Z
Notre Dame,0.0,0.0,0.0,2.8792917703224434,1689.8782154046303,0.36715972571091404,1558.7455561137463,5,FBS Independents,ND,2026,0,2026-08-24T12:48:51Z
Texas A&M,0.0,0.0,0.0,2.250892588556477,1648.4630109615075,0.2870279121891753,1545.924465950268,6,SEC,TA&M,2026,0,2026-08-24T12:48:51Z
Miami,0.0,0.0,0.0,1.777817499436032,1617.2845783642344,0.2267026190902139,1536.2724190544343,7,ACC,MIA,2026,0,2026-08-24T12:48:51Z
Indiana,0.0,0.0,0.0,1.7164788802230502,1613.2420023573316,0.21888087943956275,1535.02094071033,8,Big Ten,IU,2026,0,2026-08-24T12:48:51Z
Oklahoma,0.0,0.0,0.0,1.5631223554006743,1603.1349048109014,0.19932525809888255,1531.8920412958212,9,SEC,OU,2026,0,2026-08-24T12:48:51Z
Ole Miss,0.0,0.0,0.0,1.5456629962094801,1601.984230285328,0.19709888646200974,1531.5358218339215,10,SEC,MISS,2026,0,2026-08-24T12:48:51Z
San Diego State,0.0,0.0,0.0,1.0572607348672607,1569.795646832486,0.13481911260952595,1521.5710580175241,11,Pac-12,SDSU,2026,0,2026-08-24T12:48:51Z
Marshall,0.0,0.0,0.0,1.0130686716269406,1566.883129778091,0.12918385675072208,1520.6694170801156,12,Sun Belt,MRSH,2026,0,2026-08-24T12:48:51Z
Northwestern,0.0,0.0,0.0,1.0076269170903913,1566.524486127367,0.12848993850192933,1520.5583901603086,13,Big Ten,NU,2026,0,2026-08-24T12:48:51Z
Western Michigan,0.0,0.0,0.0,1.0027508993627816,1566.2031278619254,0.12786816152542296,1520.4589058440677,14,Mid-American,WMU,2026,0,2026-08-24T12:48:51Z
Florida,0.0,0.0,0.0,0.9552572531654752,1563.0730170596116,0.12181189647769512,1519.4899034364312,15,SEC,FLA,2026,0,2026-08-24T12:48:51Z
Texas Tech,0.0,0.0,0.0,0.9508480629468419,1562.7824254744664,0.12124964811927352,1519.3999436990837,16,Big 12,TTU,2026,0,2026-08-24T12:48:51Z
South Carolina,0.0,0.0,0.0,0.9298251759596309,1561.3968934944387,0.11856886477545438,1518.9710183640727,17,SEC,SC,2026,0,2026-08-24T12:48:51Z
Washington State,0.0,0.0,0.0,0.8892113419349624,1558.7202028045754,0.11338989531002368,1518.1423832496039,18,Pac-12,WSU,2026,0,2026-08-24T12:48:51Z
Louisiana,0.0,0.0,0.0,0.7780793183759641,1551.39594839842,0.09921863149154264,1515.8749810386469,19,Sun Belt,UL,2026,0,2026-08-24T12:48:51Z
Kansas State,0.0,0.0,0.0,0.7775420819390108,1551.3605413553869,0.09915012451185172,1515.8640199218962,20,Big 12,KSU,2026,0,2026-08-24T12:48:51Z
Southern Miss,0.0,0.0,0.0,0.7283214745223394,1548.1166136449028,0.09287364190432291,1514.8597827046917,21,Sun Belt,USM,2026,0,2026-08-24T12:48:51Z
Texas State,0.0,0.0,0.0,0.686852051705132,1545.3835346181504,0.08758557000279045,1514.0136912004464,22,Pac-12,TXST,2026,0,2026-08-24T12:48:51Z
BYU,0.0,0.0,0.0,0.6776006188534203,1544.7738107450723,0.08640585157922581,1513.824936252676,23,Big 12,BYU,2026,0,2026-08-24T12:48:51Z
USC,0.0,0.0,0.0,0.6643589001399416,1543.9011035493756,0.08471730238081045,1513.5547683809298,24,Big Ten,USC,2026,0,2026-08-24T12:48:51Z
Western Kentucky,0.0,0.0,0.0,0.630847266975557,1541.6924896953194,0.08044398691914666,1512.8710379070635,25,Conference USA,WKU,2026,0,2026-08-24T12:48:51Z
UTSA,0.0,0.0,0.0,0.6211125358418015,1541.050913621063,0.07920263956776695,1512.6724223308427,26,American Athletic,UTSA,2026,0,2026-08-24T12:48:51Z
