school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Ohio State,1950.7792353284503,3,0.000481099643452414,2.3515721289970863,1.6960314555388338,1887.0423410759931,2.6958642850238226,0.015049732292281619,1,0.16666666666666666,0.0,2.431516136997743,1889.042581919639,1,0,1,Big Ten,OSU,2026,1,2026-09-23T04:13:56Z
Indiana,1959.3726647184276,3,0.000481099643452414,2.398229837609674,1.2923817905339443,1885.3908938574136,2.6843960124117183,-0.3819976167129129,1,0.16666666666666666,0.0,2.422603549629761,1887.6165679407618,1,0,2,Big Ten,IU,2026,1,2026-09-23T04:13:56Z
Notre Dame,1945.5288465182937,3,0.000481099643452414,2.3230653361801474,0.7549184218370649,1912.0345308116039,2.8694194806345896,0.35101287375821544,1,0.16666666666666666,0.0,2.410337121774832,1885.653939483973,1,0,3,FBS Independents,ND,2026,1,2026-09-23T04:13:56Z
Georgia,1910.13184708488,3,0.000481099643452414,2.130878630457009,,1860.9208195004612,2.5144665829956323,0.5648076001456278,0,0.0,0.0,2.3034932090993894,1868.5589134559023,1,0,4,SEC,UGA,2026,1,2026-09-23T04:13:56Z
Texas,1936.4719890823148,3,0.000481099643452414,2.2738914620471378,0.8511638792725341,1801.303840732479,2.1004637876720538,1.2672759868471257,1,0.16666666666666666,0.0,2.102151515448386,1836.3442424717418,1,0,5,SEC,TEX,2026,1,2026-09-23T04:13:56Z
Miami,1912.199320085049,3,0.000481099643452414,2.142103899023105,1.4162637360518036,1800.38819529551,2.094105200265171,0.7786023265330403,1,0.16666666666666666,0.0,2.069666374766032,1831.1466199625652,1,0,6,ACC,MIA,2026,1,2026-09-23T04:13:56Z
Texas A&M,1868.4418551071947,3,0.000481099643452414,1.904524353313051,2.081511836282211,1757.4740018203224,1.7960928483321967,0.4731812888367368,1,0.16666666666666666,0.0,1.8771366001679173,1800.3418560268667,1,0,7,SEC,TA&M,2026,1,2026-09-23T04:13:56Z
Oregon,1794.0431950553389,3,0.000481099643452414,1.50057956662346,0.8104165062054972,1864.4017272188994,2.5386393196132544,-1.2066344184929323,1,0.16666666666666666,0.0,1.8380897444632858,1794.0943591141258,1,0,8,Big Ten,ORE,2026,1,2026-09-23T04:13:56Z
Alabama,1853.6638915275967,3,0.000481099643452414,1.8242879439246757,1.620262276471218,1745.3628017076276,1.7119881049353078,0.5037233926063671,1,0.16666666666666666,0.0,1.7668735792446535,1782.6997726791446,1,0,9,SEC,ALA,2026,1,2026-09-23T04:13:56Z
Penn State,1836.3364357562623,3,0.000481099643452414,1.730209160509135,1.3407867162312408,1710.9582556141218,1.4730699552923412,1.2367338830774954,1,0.16666666666666666,0.0,1.6045752752319953,1756.7320440371193,1,0,10,Big Ten,PSU,2026,1,2026-09-23T04:13:56Z
LSU,1846.3733237163133,3,0.000481099643452414,1.7847040743049514,1.9333413516178752,1674.8444237301962,1.222281880170684,1.7864917509308416,1,0.16666666666666666,0.0,1.5849435473030704,1753.5909675684914,1,0,11,SEC,LSU,2026,1,2026-09-23T04:13:56Z
Oklahoma,1817.3813781154488,3,0.000481099643452414,1.6272933726431906,1.059319127470689,1706.3688021183707,1.4411990585190726,0.5037233926063671,1,0.16666666666666666,0.0,1.5149099364587086,1742.3855898333934,1,0,12,SEC,OU,2026,1,2026-09-23T04:13:56Z
